ID;Nome;DataNascimento;Género;ÁreaResidência;Profissão
46;Yasmin Cardoso;1961-12-7;F;Braga;Instalador e reparadore de equipamentos electrónicos e de telecomunicações
47;Emília Fonseca;1962-4-15;F;Lisboa;Técnico de atividade física e de desporto
48;Duarte de Reis;1980-11-21;M;Braga;Empregado de mesa e bar
49;Isabela Rocha;1962-12-9;F;Setúbal;Técnico das ciências físicas e de engenharia
50;Frederico Vaz;1993-6-16;M;Braga;Trabalhador qualificado em acabamentos da construção e similares
51;Tomás Lourenço;1988-3-11;M;Faro;Especialista em vendas, marketing e relações públicas
52;Inês Neto;1994-8-28;F;Braga;Técnico da medicina e farmácia
53;Márcio de Lima;1956-2-18;M;Braga;Agente de compras, de vendas e corretores comerciais
54;Bruno Ferreira;1951-4-24;M;Lisboa;Caixa, penhorista e similares
55;David Monteiro;1967-4-2;M;Faro;Director dos serviços das tecnologias da informação e comunicação (TIC)
56;Valentim Ferreira;1956-5-29;M;Lisboa;Pessoal dos serviços de protecção e segurança
57;Martim Nunes;1985-1-12;M;Faro;Técnico das ciências físicas e de engenharia
58;Valentim de Marques;1993-1-29;M;Faro;Técnico de nível intermédio da área financeira e matemática
59;Vítor Antunes-Lima;1990-10-9;M;Porto;Médico
60;Sandro Melo;1970-3-9;M;Braga;Director e gerente do comércio a retalho e por grosso
61;Camila Maia;1997-11-27;F;Braga;Trabalhador qualificado em acabamentos da construção e similares
62;Mia Assunção;1965-2-28;F;Faro;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
63;Lara Jesus;1958-6-2;F;Lisboa;Empregado de mesa e bar
64;Paulo Henriques;1958-6-8;M;Lisboa;Especialista do ensino
65;Carlos Torres;1985-7-27;M;Setúbal;Trabalhador dos serviços pessoais
66;Benjamim Araújo;1987-3-3;M;Porto;Agricultor e trabalhador qualificado da agricultura e produção animal combinadas, orientados para o mercado
67;Diogo Carneiro;1968-9-4;M;Porto;Profissional paramédico
68;Luísa Assunção;1999-11-2;F;Braga;Operador de instalações fixas e máquinas
69;Nelson Fonseca;1987-7-16;M;Lisboa;Administrativo e secretário especializado
70;Bruna-Renata Lopes;1990-2-28;F;Lisboa;Agente de negócios
71;Inês Brito;1992-1-28;F;Porto;Operador de processamento de texto e dados
72;Helena Borges;1965-2-22;F;Porto;Director e gerente do comércio a retalho e por grosso
73;Beatriz Silva;1952-4-23;F;Faro;Trabalhador da montagem
74;Cristiano Lopes-Marques;1974-2-18;M;Setúbal;Vendedor ambulante e em mercados
75;Nicole Alves;1968-8-21;F;Lisboa;Pescador, caçador e colector, de subsistência
76;Filipa Barbosa;1951-3-19;F;Setúbal;Professor dos ensinos universitário e superior
77;Lúcia do Magalhães;1961-6-12;F;Porto;Especialista em base de dados e redes
78;Gabriel Simões;1983-9-13;M;Lisboa;Especialista em ciências sociais e religiosas
79;Guilherme Lima;1974-12-7;M;Faro;Arquitecto, urbanista e designer
80;Sara Gonçalves;1980-10-7;F;Setúbal;Agente de nível intermédio da Administração Pública, para aplicação da lei e similares
81;Sandro Melo;1970-7-14;M;Braga;Profissional paramédico
82;Pilar Moreira;1988-9-15;F;Braga;Trabalhador da confecção de vestuário, curtidor de peles, sapateiro e similares
83;Yara de Melo;1955-10-25;F;Lisboa;Trabalhador da recuperação de resíduos
84;Helena-Júlia Brito;1975-11-3;F;Faro;Cozinheiro
85;Matilde da Pinto;1954-7-21;F;Lisboa;Especialista em vendas, marketing e relações públicas
86;Erika do Matos;1959-5-26;F;Setúbal;Veterinário
87;Diego Neto;1986-12-29;M;Lisboa;Instalador e reparador de equipamento eléctrico
88;Henrique Matos-Pinto;1997-3-24;M;Setúbal;Técnico operacional e controlador dos transportes marítimo e aéreo
89;Vicente Rocha;1950-11-10;M;Setúbal;Director de serviços de negócios e de administração
90;Wilson Moreira;1983-8-16;M;Setúbal;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
91;David Alves;1994-1-11;M;Porto;Pintor, limpador de fachadas e similares
92;Fabiana Moura;1993-8-28;F;Porto;Professor dos ensinos básico (2º e 3º ciclos) e secundário
93;Lourenço Leal;1993-8-8;M;Faro;Operador de instalações e máquinas, do fabrico de produtos químicos e fotográficos
94;Erika Esteves;1951-5-8;F;Lisboa;Operador de instalações, da extracção mineira e de processamento de minerais
95;Alexandra Nogueira;1971-1-21;F;Lisboa;Especialista em finanças e contabilidade
96;Wilson Nascimento;1972-2-13;M;Braga;Operador de equipamentos móveis
97;Bianca Campos;1983-1-15;F;Faro;Trabalhador qualificado da floresta e similares
98;Ismael Monteiro;1965-2-14;M;Braga;Trabalhador de cuidados pessoais nos serviços de saúde
99;Erica Pires-Henriques;1986-2-10;F;Setúbal;Trabalhador da confecção de vestuário, curtidor de peles, sapateiro e similares
100;Denis Garcia;1953-1-30;M;Lisboa;Operador de instalações, da extracção mineira e de processamento de minerais
101;Ricardo do Matos;1979-7-27;M;Setúbal;Agricultor de subsistência
102;Inês Campos;1967-6-16;F;Faro;Outro pessoal das Forças Armadas
103;Matilde Araújo;1967-5-30;F;Braga;Trabalhador do tratamento da madeira e cortiça, marceneiros e similares
104;Joana Neto;1994-5-14;F;Braga;Mecânico e reparador de máquinas e de veículos
105;Kevin Reis;1971-12-12;M;Faro;Outras profissões elementares
106;Luís Rocha-Fernandes;1960-5-2;M;Porto;Vendedor ambulante (excepto de alimentos)
107;Luísa Lourenço;1975-1-19;F;Lisboa;Operador de máquinas do fabrico de produtos alimentares e similares
108;Marcos Alves;2000-6-10;M;Braga;Especialista do ensino
109;Ivo Valente;1989-4-1;M;Braga;Operador de instalações para o fabrico de papel, para o trabalho da madeira e cortiça
110;Isabel do Morais;1970-11-19;F;Porto;Trabalhador de outros ofícios
111;Alexandra Pires;1983-11-5;F;Braga;Mecânico e reparador de máquinas e de veículos
112;Isabela Baptista;1961-4-4;F;Braga;Profissional de nível intermédio da medicina tradicional e complementar
113;Margarida Vaz;1971-1-14;F;Braga;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
114;Mélanie Barbosa;1999-8-25;F;Braga;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
115;Luciana da Valente;1977-6-1;F;Lisboa;Trabalhador qualificado da aquicultura e das pescas; caçador (inclui com armadilha)
116;Emília Freitas;1951-8-28;F;Setúbal;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
117;Diogo Andrade;1982-11-16;M;Porto;Trabalhador não qualificado de apoio, aos transportes e armazenagem
118;Laura Oliveira;1989-7-22;F;Porto;Vendedor ambulante (excepto de alimentos)
119;Dinis Jesus;1970-10-25;M;Faro;Director e gerente do comércio a retalho e por grosso
120;Mateus Rodrigues;1963-1-7;M;Lisboa;Caixa, penhorista e similares
121;Margarida Valente;1964-11-1;F;Setúbal;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
122;Mia do Magalhães;1962-8-18;F;Faro;Outro pessoal de apoio de tipo administrativo
123;Lucas Soares;1966-2-23;M;Braga;Operador de processamento de texto e dados
124;Daniela Neves-Paiva;1983-10-9;F;Braga;Especialista em ciências sociais e religiosas
125;José Carvalho;1962-3-11;M;Braga;Médico
126;Júlia-Carolina Pinto;1983-4-17;F;Setúbal;Técnico de atividade física e de desporto
127;António Rodrigues;1973-12-4;M;Faro;Empregado de aprovisionamento, armazém, de serviços de apoio à produção e transportes
128;Ricardo Machado;1974-5-29;M;Faro;Trabalhador qualificado da transformação de alimentos
129;Ismael de Moura;1985-11-25;M;Braga;Trabalhador não qualificado de apoio, aos transportes e armazenagem
130;Rúben Vicente;1984-6-14;M;Lisboa;Professor dos ensinos universitário e superior
131;Camila Miranda;1988-1-11;F;Faro;Outras profissões elementares
132;Kévim Guerreiro;1992-9-16;M;Lisboa;Especialista em assuntos jurídicos
133;Luna Valente;1972-6-26;F;Setúbal;Especialista do ensino
134;Rafael Araújo-Soares;1958-9-4;M;Porto;Autor, jornalista e linguista
135;Yasmin Leal;1990-10-25;F;Lisboa;Tripulante de convés de navios e similares
136;André Leal;1966-1-1;M;Faro;Técnico de atividade física e de desporto
137;Leonor Pinho-Macedo;1973-3-20;F;Faro;Auxiliar de educadores de infância e de professores
138;Violeta Barros;1965-11-25;F;Faro;Especialista em vendas, marketing e relações públicas
139;Soraia Sousa;1955-11-22;F;Setúbal;Profissional de nível intermédio da saúde
140;Micael Pires;1989-12-18;M;Lisboa;Especialista em finanças e contabilidade
141;Bernardo Alves;1970-12-1;M;Porto;Operador de instalações e máquinas, do fabrico de produtos químicos e fotográficos
142;João do Sá;1980-8-8;M;Porto;Bibliotecário, arquivista e curador de museus e similares
143;Mateus Moura;1984-6-24;M;Setúbal;Trabalhador dos serviços pessoais
144;Alexandre Simões;1987-11-2;M;Braga;Técnico da medicina e farmácia
145;Jaime Torres;1973-7-10;M;Faro;Técnico e assistente de veterinários
146;Rúben Faria;1977-4-1;M;Lisboa;Operador de máquinas para o fabrico de produtos têxteis, de pele com pêlo e couro
147;Nádia da Baptista;1963-8-31;F;Lisboa;Engenheiro Informático
148;Mariana Costa;1990-7-26;F;Braga;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
149;Kyara Castro;1985-2-6;F;Porto;Prestador de serviços na rua
150;Wilson Pacheco;1950-9-4;M;Braga;Operador de instalações de transformação e acabamento, de metais
151;Catarina-Patrícia Azevedo;1982-12-27;F;Lisboa;Agente de negócios
152;Benedita da Sousa;1961-3-21;F;Porto;Trabalhador da recuperação de resíduos
153;Carminho Almeida;1974-7-11;F;Porto;Médico
154;Petra Alves;1994-9-18;F;Lisboa;Encarregado das indústrias extractiva, transformadora e construção
155;Bruno Assunção;1985-7-29;M;Braga;Técnico de atividade física e de desporto
156;Lúcia Castro;1967-1-30;F;Lisboa;Prestador de serviços na rua
157;Sandro Ferreira;1981-7-9;M;Setúbal;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
158;Margarida Baptista;1984-4-12;F;Faro;Director geral e gestor executivo de empresas
159;Lúcia-Fabiana Fonseca;1992-7-8;F;Porto;Técnico de secretariado
160;Diana-Miriam Nunes;1998-6-9;F;Braga;Trabalhador relacionado com vendas
161;Mélanie Pacheco;1987-3-12;F;Setúbal;Pessoal de recepção e de informação a clientes
162;Gustavo Garcia;1956-8-2;M;Braga;Forjador, serralheiro mecânico e similar
163;Alexandra-Helena Mota;1958-7-29;F;Porto;Auxiliar de enfermagem e parteiras
164;Joana Vaz;1960-8-10;F;Braga;Técnico de atividade física e de desporto
165;Alícia Cruz;1961-1-3;F;Porto;Sargento das Forças Armadas
166;Carlota de Paiva;1957-7-25;F;Braga;Técnico de secretariado
167;Vicente Branco;1973-6-20;M;Lisboa;Outro pessoal das Forças Armadas
168;Bernardo Garcia;1967-7-24;M;Braga;Auxiliar de enfermagem e parteiras
169;Bianca Silva;1976-3-3;F;Setúbal;Operador de instalações de transformação e acabamento, de metais
170;Artur Gomes;1988-9-18;M;Faro;Empregado de aprovisionamento, armazém, de serviços de apoio à produção e transportes
171;Daniela Paiva;1977-11-24;F;Porto;Profissional de enfermagem
172;Martim Mendes;1956-10-22;M;Porto;Agente de compras, de vendas e corretores comerciais
173;Sérgio Lima;1964-9-10;M;Braga;Operador de instalações e máquinas, do fabrico de produtos químicos e fotográficos
174;Alícia Jesus;1979-6-29;F;Porto;Professor dos ensinos, tecnológico, artístico e profissional
175;Mara Guerreiro;1994-11-4;F;Braga;Pessoal de recepção e de informação a clientes
176;Mafalda Matias;1982-5-20;F;Setúbal;Físico, químico e especialista relacionado
177;Raquel Ramos;1998-11-2;F;Braga;Outro pessoal de apoio de tipo administrativo
178;Eduardo Jesus;1995-9-27;M;Lisboa;Empregado de aprovisionamento, armazém, de serviços de apoio à produção e transportes
179;Tiago do Tavares;1983-8-30;M;Porto;Vendedor em lojas
180;Ângelo Assunção;1965-1-21;M;Lisboa;Especialista do ensino
181;Erica Azevedo;1988-6-4;F;Porto;Profissional de enfermagem
182;Enzo de Pereira;1993-3-3;M;Lisboa;Director geral e gestor executivo de empresas
183;Emanuel Alves;1968-1-24;M;Setúbal;Professor dos ensinos universitário e superior
184;Salvador de Esteves;1952-8-23;M;Faro;Director das indústrias transformadoras, extractivas, da construção, transportes e distribuição
185;Diana-Rafaela Silva;1976-11-7;F;Faro;Técnico de nível intermédio da área financeira e matemática
186;Gil Domingues;1966-1-26;M;Setúbal;Director geral e gestor executivo de empresas
187;Carolina-Mara Mota;1989-11-13;F;Braga;Director de serviços especializados
188;Frederico Nascimento;1965-10-3;M;Faro;Veterinário
189;Rui Brito;1977-8-20;M;Lisboa;Técnico operacional e controlador dos transportes marítimo e aéreo
190;Lisandro do Reis;1973-2-9;M;Faro;Agricultor de subsistência
191;Joel Machado;1959-4-21;M;Braga;Trabalhador da confecção de vestuário, curtidor de peles, sapateiro e similares
192;Carolina Marques;1975-6-11;F;Lisboa;Especialista em base de dados e redes
193;Lisandro Matos;1973-10-25;M;Braga;Técnico de nível intermédio dos serviços jurídicos, sociais e religiosos
194;Eduardo Cruz;1998-6-1;M;Lisboa;Trabalhador não qualificado da indústria transformadora
195;Beatriz Cruz;1955-12-12;F;Porto;Técnico de atividade física e de desporto
196;Nelson Matias;1985-2-18;M;Setúbal;Director e gerente de outros serviços
197;Ema Barbosa;1959-7-17;F;Faro;Trabalhador de chapas metálicas, preparador e montador de estruturas metálicas, moldador de metal, soldador e trabalhador similares
198;Alice Martins;1955-6-2;F;Porto;Empregado de escritório em geral
199;Mara Fonseca;1988-6-30;F;Braga;Físico, químico e especialista relacionado
200;Gonçalo Cunha;1990-11-19;M;Faro;Técnico de nível intermédio dos serviços jurídicos, sociais e religiosos
201;Francisco Sá;1993-4-5;M;Faro;Agente de negócios
202;Diogo Alves;1951-6-8;M;Lisboa;Artista criativo e das artes do espectáculo
203;Gabriel Andrade-Almeida;1984-8-18;M;Porto;Cabeleireiro, esteticista e similares
204;Soraia Barbosa;1976-9-19;F;Braga;Empregado de mesa e bar
205;Isabela Carneiro;1958-11-25;F;Braga;Agente de negócios
206;Vasco Ferreira;1953-7-1;M;Porto;Operador de máquinas do fabrico de produtos alimentares e similares
207;Nuno Esteves;1950-3-14;M;Porto;Técnico das ciências físicas e de engenharia
208;Ricardo Mota-Mendes;1987-12-4;M;Setúbal;Trabalhador de limpeza em casas particulares, hotéis e escritórios
209;Kyara Pacheco-Jesus;1982-9-24;F;Porto;Arquitecto, urbanista e designer
210;Mário Matos;1969-8-15;M;Porto;Bibliotecário, arquivista e curador de museus e similares
211;Lucas Jesus;1995-12-31;M;Setúbal;Operador de máquinas do fabrico de produtos alimentares e similares
212;Emanuel Martins;1987-8-17;M;Braga;Operador de instalações de transformação e acabamento, de metais
213;Andreia Henriques;1953-12-2;F;Porto;Trabalhador qualificado do fabrico de instrumentos de precisão, joalheiros, artesãos e similares
214;Edgar Marques;1967-4-13;M;Setúbal;Director e gerente de outros serviços
215;Isabel Cardoso;1986-7-14;F;Braga;Engenheiro Informático
216;Gabriel Barros;1959-1-31;M;Braga;Professor dos ensinos universitário e superior
217;Marcos Silva;1991-9-26;M;Porto;Operador de instalações e máquinas, do fabrico de produtos químicos e fotográficos
218;Joaquim Cardoso;1964-1-30;M;Setúbal;Trabalhador da montagem
219;Madalena Neto;1996-6-2;F;Braga;Operador de máquinas do fabrico de produtos alimentares e similares
220;Lúcia Santos;1973-10-18;F;Lisboa;Autor, jornalista e linguista
221;Melissa Magalhães;1955-7-28;F;Braga;Técnico de nível intermédio da área financeira e matemática
222;Pedro Vaz;1955-8-29;M;Porto;Criador de animais de subsistência
223;Eduardo Vaz-Branco;1969-8-27;M;Porto;Matemático, actuário, estaticista e demógrafo
224;Eduardo Carvalho;1980-10-12;M;Setúbal;Matemático, actuário, estaticista e demógrafo
225;Ângela Vieira;1963-9-15;F;Braga;Trabalhador qualificado do fabrico de instrumentos de precisão, joalheiros, artesãos e similares
226;Filipa Monteiro;1975-11-26;F;Setúbal;Especialista em medicina tradicional e alternativa
227;Naiara Ferreira;1979-5-19;F;Lisboa;Caixa, penhorista e similares
228;Bruna Neto-Carvalho;1950-10-15;F;Lisboa;Operador de máquinas do fabrico de produtos alimentares e similares
229;Valentim Nogueira;1957-5-3;M;Porto;Vendedor em lojas
230;Margarida Neto;1960-8-28;F;Porto;Professor dos ensinos universitário e superior
231;Naiara de Santos;1979-3-29;F;Braga;Analista e programador, de software, Web e de aplicações
232;Alexandre Nunes;1962-10-9;M;Faro;Outras profissões elementares
233;Gonçalo Figueiredo;1954-1-31;M;Braga;Director e gerente de outros serviços
234;Samuel Lopes;1972-12-31;M;Porto;Director de serviços de negócios e de administração
235;Jéssica Fernandes;1960-9-15;F;Porto;Mecânico e reparador de máquinas e de veículos
236;Rafael Martins;1953-2-16;M;Setúbal;Técnico de atividade física e de desporto
237;Gonçalo Borges-Brito;1953-4-17;M;Setúbal;Operador de máquinas para o fabrico de produtos de borracha, plástico e papel
238;Igor Batista;1979-3-31;M;Braga;Cabeleireiro, esteticista e similares
239;Henrique Moreira;1959-7-15;M;Setúbal;Assistente de viagem, cobrador e guia intérprete
240;Melissa Antunes-Gonçalves;1956-10-12;F;Setúbal;Operador de equipamentos móveis
241;Daniela Mendes;1987-9-10;F;Braga;Assistente na preparação de refeições
242;Tomé Maia;1991-2-1;M;Braga;Profissional de enfermagem
243;Alexandre Carvalho;1985-7-13;M;Faro;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
244;Alice Gonçalves;1982-2-25;F;Lisboa;Profissional paramédico
245;Bruna Mota;1964-10-14;F;Setúbal;Trabalhador dos serviços pessoais
246;Flor Maia;1985-3-4;F;Setúbal;Empregado de escritório em geral
247;Ricardo Ferreira;1966-9-21;M;Porto;Pessoal dos serviços de protecção e segurança
248;Jéssica Carneiro-Vaz;1965-6-12;F;Setúbal;Profissional de nível intermédio da medicina tradicional e complementar
249;Tomé Campos;1966-2-5;M;Setúbal;Trabalhador de limpeza de veículos, janelas, roupa e de outra limpeza manual
250;Lara Faria;1981-9-26;F;Setúbal;Maquinista de locomotivas e similares
251;Luca Abreu;1966-2-4;M;Braga;Veterinário
252;Renato Correia;1956-12-13;M;Faro;Técnico de nível intermédio dos serviços jurídicos, sociais e religiosos
253;Margarida Esteves-Sousa;1981-5-8;F;Lisboa;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
254;Miguel Alves;1956-12-9;M;Lisboa;Trabalhador não qualificado da agricultura, produção animal, pesca e floresta
255;Caetana Gaspar-Valente;1950-10-23;F;Lisboa;Director das indústrias transformadoras, extractivas, da construção, transportes e distribuição
256;Sandro Loureiro;1983-9-2;M;Setúbal;Profissional de nível intermédio da saúde
257;Vasco Monteiro;1990-9-21;M;Setúbal;Agente de compras, de vendas e corretores comerciais
258;Valentim Guerreiro;1969-10-19;M;Faro;Técnico de nível intermédio dos serviços jurídicos, sociais e religiosos
259;Mateus Gaspar;1952-4-23;M;Lisboa;Trabalhador qualificado em acabamentos da construção e similares
260;Duarte Vicente;2000-12-25;M;Porto;Operador de instalações fixas e máquinas
261;Brian Esteves;1983-6-28;M;Faro;Profissional paramédico
262;Duarte Martins;1983-5-3;M;Porto;Trabalhador de limpeza em casas particulares, hotéis e escritórios
263;Valentina-Vera Soares;1978-10-10;F;Faro;Trabalhador do tratamento da madeira e cortiça, marceneiros e similares
264;Frederico Borges;1978-5-29;M;Braga;Operador de instalações, da extracção mineira e de processamento de minerais
265;Madalena-Alice Brito;1969-9-6;F;Faro;Artista criativo e das artes do espectáculo
266;César Domingues;1964-3-21;M;Lisboa;Operador de instalações fixas e máquinas
267;Enzo Oliveira;1963-8-22;M;Setúbal;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
268;Soraia Mendes;1991-6-28;F;Braga;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
269;Santiago Brito;1990-6-4;M;Lisboa;Veterinário
270;Leandro Morais;1988-7-23;M;Lisboa;Especialista em assuntos jurídicos
271;Nádia Melo;1973-9-2;F;Setúbal;Trabalhador qualificado da transformação de alimentos
272;Victória Magalhães;1956-6-26;F;Porto;Oficial das Forças Armadas
273;Tiago Coelho;1967-10-26;M;Setúbal;Governante doméstico e encarregado de limpeza e de trabalhos domésticos
274;Luísa Ramos;1971-7-3;F;Braga;Pessoal de recepção e de informação a clientes
275;Carlota Fonseca-Simões;1976-8-27;F;Porto;Trabalhador de outros ofícios
276;Frederico Barbosa;1970-8-26;M;Setúbal;Trabalhador não qualificado da indústria extractiva e construção
277;Maria Oliveira;1957-3-5;F;Braga;Pessoal dos serviços de protecção e segurança
278;Nicole Brito;1979-7-29;F;Setúbal;Agente de compras, de vendas e corretores comerciais
279;Artur Freitas;1970-2-14;M;Braga;Trabalhador não qualificado de apoio, aos transportes e armazenagem
280;Gabriel Borges;1980-2-9;M;Lisboa;Profissional de saúde
281;Henrique Reis;1990-8-19;M;Faro;Auxiliar de educadores de infância e de professores
282;Inês Macedo;1993-12-9;F;Setúbal;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
283;Samuel Andrade;1985-2-5;M;Faro;Operador de máquinas do fabrico de produtos alimentares e similares
284;Teresa-Débora Rocha;1971-9-5;F;Faro;Trabalhador da impressão
285;Jaime Ramos;1956-5-6;M;Faro;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
286;Victória de Gomes;1967-11-14;F;Lisboa;Operador de instalações fixas e máquinas
287;Gonçalo Pinheiro;1974-6-16;M;Braga;Outro pessoal de apoio de tipo administrativo
288;David do Valente;1975-11-20;M;Setúbal;Operador de instalações, da extracção mineira e de processamento de minerais
289;Ângela Moura;1985-11-13;F;Porto;Especialista do ensino
290;Vera Abreu;1971-2-5;F;Porto;Técnico de nível intermédio dos serviços jurídicos, sociais e religiosos
291;Rafael Ribeiro;1955-6-3;M;Setúbal;Especialista do ensino
292;Laura Lima;1960-4-16;F;Faro;Pessoal de recepção e de informação a clientes
293;Brian Branco-Pereira;1984-3-6;M;Faro;Director geral e gestor executivo de empresas
294;Núria Pires;1969-5-2;F;Faro;Operador de caixa e venda de bilhetes
295;Pedro Fernandes;1957-11-5;M;Faro;Operador de instalações, da extracção mineira e de processamento de minerais
296;Francisco Ferreira;1957-1-11;M;Setúbal;Operador de instalações de transformação e acabamento, de metais
297;Nicole Leal-Pires;1956-10-12;F;Braga;Outras profissões elementares
298;Cláudio Moreira;1973-2-28;M;Lisboa;Técnico e assistente de veterinários
299;Matilde Soares;1976-4-6;F;Lisboa;Vendedor ambulante (excepto de alimentos)
300;Maria Ramos;1985-4-7;F;Braga;Criador de animais de subsistência
301;Ana Abreu;1982-5-22;F;Lisboa;Operador de instalações para o fabrico de papel, para o trabalho da madeira e cortiça
302;Ângela-Carlota Silva;1968-8-14;F;Porto;Profissional de nível intermédio da saúde
303;Alice da Branco;1992-9-15;F;Braga;Vendedor em lojas
304;Bryan de Rodrigues;1955-12-17;M;Faro;Outro pessoal de apoio de tipo administrativo
305;Débora Amaral;1960-3-4;F;Porto;Profissional paramédico
306;César Gomes;1973-7-27;M;Setúbal;Motorista de veículos pesados e de autocarros
307;Rodrigo Correia;1951-1-24;M;Setúbal;Cabeleireiro, esteticista e similares
308;Mateus do Pinheiro;1994-10-28;M;Porto;Operador de instalações e máquinas, do fabrico de produtos químicos e fotográficos
309;Lisandro da Ribeiro;1978-1-25;M;Faro;Operador de instalações e máquinas, do fabrico de produtos químicos e fotográficos
310;Diego Vicente;1983-5-10;M;Porto;Especialista em base de dados e redes
311;Gustavo Leal;1950-9-16;M;Lisboa;Analista e programador, de software, Web e de aplicações
312;Larissa Castro;2000-5-15;F;Faro;Analista e programador, de software, Web e de aplicações
313;Débora do Lopes;1964-2-6;F;Faro;Cozinheiro
314;Álvaro Matias;1953-8-31;M;Setúbal;Profissional de saúde
